NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,6,1,1,10028,2001,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,19,1,1,10028,3502,1,5103403,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
2021,23,25352,1,10028,2001,1,5107602,51,5
